id,nombre,email,rol_global,institution_id,verificado,created_at
usr_001,Camila Pat Cetina,camila.pat25@alumno.upy.edu.mx,superadmin,inst_01,true,2026-03-25 00:00:00
usr_002,Luis Ek Chan,luis.ek77@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-05 00:00:00
usr_003,Iker Uc Noh,iker.uc59@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-02 00:00:00
usr_004,Mateo Pool Cocom,mateo.pool35@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-01 00:00:00
usr_005,Carlos May Mena,carlos.may94@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-07 00:00:00
usr_006,Iker Chan Caamal,iker.chan82@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-22 00:00:00
usr_007,Regina Pat May,regina.pat20@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-04 00:00:00
usr_008,Raúl Kuyoc Couoh,raul.kuyoc93@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-29 00:00:00
usr_009,Mariana Ucán Cocom,mariana.ucan15@alumno.upy.edu.mx,comprador,inst_01,false,2026-04-03 00:00:00
usr_010,Sofía Uc Kuyoc,sofia.uc49@alumno.upy.edu.mx,vendor,inst_01,true,2026-04-02 00:00:00
usr_011,Gael Poot Mena,gael.poot16@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-08 00:00:00
usr_012,Gael Chan Poot,gael.chan33@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-31 00:00:00
usr_013,Valeria Uc Caamal,valeria.uc50@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-29 00:00:00
usr_014,Leonardo Kuyoc Balam,leonardo.kuyoc84@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-31 00:00:00
usr_015,Emiliano Kuyoc Couoh,emiliano.kuyoc13@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-17 00:00:00
usr_016,Renata Cocom Noh,renata.cocom33@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-26 00:00:00
usr_017,Leonardo Mena Uc,leonardo.mena49@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-04 00:00:00
usr_018,Valeria Ucán Chan,valeria.ucan91@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-28 00:00:00
usr_019,Mariana Noh Dzul,mariana.noh52@alumno.upy.edu.mx,vendor,inst_01,true,2026-03-31 00:00:00
usr_020,Diego Dzul Pool,diego.dzul98@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-26 00:00:00
